ticket_id,query_text,request_type,category,priority,requester_role,department,submitted_at
TCK-1FA9345F,"please grant access to analytics dashboard repo, approved by Craig",Service Request,Access/Permission Request,P3-Medium,Associate,Data Science,2025-08-10T06:08:03
TCK-5F3CC129,Requesting additional Jira seat for new Finance hire,Service Request,Software License Request,P4-Low,Associate,HR,2025-09-26T19:34:51
TCK-41C973D5,requesting additional Anaconda seat for new Procurement hire,Service Request,Software License Request,P3-Medium,Manager,Procurement,2025-07-03T18:23:05
TCK-B0A68928,"Our team's Anaconda license renewal is due, please process",Service Request,Software License Request,P4-Low,Senior Associate,Engineering,2026-08-05T22:09:03
TCK-40778812,Outlook calendar not showing meeting invites from Sales team,Incident,Email/Outlook Issue,P2-High,Senior Manager,Legal,2026-02-07T14:01:09
TCK-8F4B8128,onboarding checklist pending for new associate in Procurement,Admin,Employee Onboarding Setup,P3-Medium,Senior Manager,DevOps,2026-04-14T06:56:12
TCK-05E97451,"hello, my VPN keeps disconnecting every 10 mins, can't push code",Incident,Network/VPN Connectivity Issue,P1-Critical,Manager,Procurement,2025-10-04T19:45:06
TCK-D0FBFCF5,"New hire joining Data Science on yesterday, needs full IT setup",Admin,Employee Onboarding Setup,P3-Medium,Director,Procurement,2026-02-24T11:40:45
TCK-E935DA05,Need a new shared mailbox created for DevOps team,Service Request,Distribution List / Mailbox Request,P4-Low,Senior Manager,DevOps,2026-03-20T21:58:40
TCK-D1A1ABE0,"employee last working day is yesterday, please disable access",Admin,Employee Offboarding/Asset Return,P3-Medium,Senior Associate,Design,2026-05-09T22:55:01
TCK-F01CD356,"requesting a laptop bag/mouse replacement, old one damaged",Service Request,New Hardware/Peripheral Request,P4-Low,Senior Associate,Procurement,2025-03-28T15:00:15
TCK-204874BD,laptop overheating and shutting down randomly during export data,Incident,Hardware Malfunction,P2-High,Team Lead,Procurement,2025-08-04T15:39:41
TCK-C0C852E1,"My VPN keeps disconnecting every 10 mins, can't start my shift",Incident,Network/VPN Connectivity Issue,P1-Critical,Associate,Design,2026-08-09T08:21:08
TCK-4EB0C46A,"Toner/ink warning on ground floor printer, needs replacement",Incident,Printer Not Working,P1-Critical,Team Lead,Marketing,2025-08-30T08:28:52
TCK-4273E565,"Unable to open Postman, keeps saying 'application not responding'",Incident,Application Crash or Error,P2-High,Senior Associate,HR,2025-10-13T16:20:01
TCK-62E54640,"Mailbox full error, need cleanup or quota increase before EOD",Incident,Email/Outlook Issue,P2-High,Senior Associate,DevOps,2025-11-17T07:08:05
TCK-3513F106,scan to email not working from 7th floor printer,Incident,Printer Not Working,P3-Medium,Associate,Design,2025-07-24T02:12:05
TCK-D6D49350,Need firewall rule opened for port 5 to build pipeline,Change Request,Firewall/Network Change,P2-High,Team Lead,Marketing,2025-08-01T21:57:50
TCK-544D630C,requesting network change to allow SAP GUI traffic through proxy,Change Request,Firewall/Network Change,P2-High,Manager,Marketing,2026-07-15T15:50:46
TCK-629BBFA2,Please enable vpn for contractor working with Procurement team,Service Request,VPN Access Setup,P3-Medium,Manager,QA,2025-12-15T01:04:12
TCK-0903AA15,Figma is throwing an exception on startup since yesterday,Incident,Application Crash or Error,P2-High,VP,HR,2025-04-05T20:20:16
TCK-142414EC,Raising change request to resize compute for shared drive before this morning,Change Request,Server Configuration Change,P2-High,Team Lead,DevOps,2025-10-28T04:57:02
TCK-1674546F,raising RFC to increase memory allocation on staging server,Change Request,Server Configuration Change,P1-Critical,Team Lead,Procurement,2025-10-06T00:11:16
TCK-544DDA16,"password reset link expired, still cant log in",Incident,Login/Authentication Failure,P1-Critical,Senior Associate,Customer Support,2025-12-25T18:29:06
TCK-87088EE3,Outlook keeps freezing / not syncing on Linux,Incident,Email/Outlook Issue,P2-High,Associate,Customer Support,2026-06-25T09:02:44
TCK-E8A081CD,laptop screen flickering / has dead pixels since after the last update,Incident,Hardware Malfunction,P3-Medium,Senior Associate,Marketing,2026-04-09T16:29:00
TCK-43BB7771,"laptop battery draining within 31 mins, needs replacement",Incident,Hardware Malfunction,P1-Critical,VP,Marketing,2025-12-30T01:43:27
TCK-30358B74,need site-to-site vpn access to build pipeline for the project,Service Request,VPN Access Setup,P3-Medium,Team Lead,Engineering,2026-02-25T00:19:18
TCK-4DEA1E41,"getting a white screen / blank page in PowerBI, cleared cache already",Incident,Application Crash or Error,P3-Medium,Senior Associate,Marketing,2025-11-04T02:36:08
TCK-6BE2494E,Need a docking station for the Design team's new hires,Service Request,New Hardware/Peripheral Request,P4-Low,Senior Associate,QA,2026-08-15T07:40:32
TCK-2A7A0364,"getting a white screen / blank page in Git client, cleared cache already",Incident,Hardware Malfunction,P1-Critical,Team Lead,Marketing,2025-06-16T20:54:13
TCK-D88EAF22,Need a new shared mailbox created for Procurement team,Service Request,Distribution List / Mailbox Request,P3-Medium,Senior Associate,QA,2026-06-30T17:01:42
TCK-673BCAF5,"hello, my VPN keeps disconnecting every 10 mins, can't submit the deliverable",Incident,Network/VPN Connectivity Issue,P1-Critical,Team Lead,Engineering,2026-02-23T21:52:38
TCK-D3BC1337,"unable to connect to office VPN since yesterday, team is idle",Incident,VPN Access Setup,P1-Critical,Associate,Customer Support,2025-06-02T17:41:20
TCK-17EE1B3F,"Anaconda lost all my unsaved work after crashing, please help",Incident,Hardware Malfunction,P2-High,Associate,DevOps,2025-12-31T09:22:40
TCK-A0303D98,onboarding checklist pending for new associate in Legal,Admin,Employee Onboarding Setup,P3-Medium,Manager,Legal,2025-12-26T10:46:18
TCK-54FA8EBF,Printer paper jam error even after clearing tray,Incident,Printer Not Working,P3-Medium,Associate,Customer Support,2025-09-04T13:02:17
TCK-FBD45FC5,"Cant print from IntelliJ IDEA, other apps print fine",Incident,Printer Not Working,P3-Medium,Senior Associate,Marketing,2026-08-01T18:51:16
TCK-66AB586F,Raising RFC to increase memory allocation on internal wiki,Change Request,Server Configuration Change,P2-High,Senior Associate,Procurement,2026-06-09T10:26:36
TCK-C8063E16,Requesting removal of old members from DevOps DL,Service Request,Distribution List / Mailbox Request,P3-Medium,Manager,HR,2025-04-11T18:22:51
TCK-AB96143F,printer paper jam error even after clearing tray,Incident,Printer Not Working,P4-Low,Associate,Procurement,2026-08-11T13:26:24
TCK-15E7CA53,docking station not detecting external monitor,Incident,Hardware Malfunction,P2-High,Manager,HR,2026-05-01T12:34:06
TCK-767DD5AE,network printer not detected on macOS,Incident,Printer Not Working,P3-Medium,Associate,QA,2025-05-20T08:24:34
TCK-A394B99D,offboarding: revoke analytics dashboard access for exiting team member,Admin,Employee Offboarding/Asset Return,P3-Medium,Associate,Procurement,2026-01-06T02:22:18
TCK-D9F59E9F,"Getting a white screen / blank page in Postman, cleared cache already",Incident,Application Crash or Error,P3-Medium,Associate,HR,2026-07-01T18:11:14
TCK-CA58953F,"self-service password reset isnt working, need manual reset",Service Request,Password Reset,P2-High,Associate,QA,2025-07-05T00:29:39
TCK-79199092,"Unable to send emails, getting bounce back error 403",Incident,Email/Outlook Issue,P2-High,Manager,Engineering,2026-04-14T17:30:22
TCK-B0FE2950,RFC for production release of Salesforce v15.0 this sprint,Change Request,Application Deployment/Release,P3-Medium,Senior Associate,Customer Support,2025-08-28T17:33:42
TCK-CCF8AC2D,RFC for production release of Docker Desktop v29.0 this sprint,Change Request,Application Deployment/Release,P2-High,Senior Associate,Marketing,2026-03-01T21:29:39
TCK-93FBF31B,RFC to whitelist new vendor IP for internal wiki integration,Change Request,Firewall/Network Change,P2-High,Associate,DevOps,2025-12-19T10:51:09
TCK-A6FA4B3D,"Requesting a new laptop, current one is 29 years old and slow",Service Request,New Hardware/Peripheral Request,P4-Low,Manager,Sales,2025-07-12T02:00:26
TCK-3B08BEB6,Raising RFC to increase memory allocation on billing system,Change Request,Server Configuration Change,P2-High,Manager,Design,2026-01-27T04:23:04
TCK-DFE62C45,Need RFC approved for db failover test on Jira project,Change Request,Database Schema/Deployment Change,P1-Critical,Manager,Procurement,2025-07-09T15:08:03
TCK-4141019F,requesting approval to add new column to build pipeline schema today if possible,Change Request,Database Schema/Deployment Change,P2-High,Senior Associate,Customer Support,2026-02-19T14:45:44
TCK-63AA7D21,RFC for production release of SAP GUI v47.0 this sprint,Change Request,Application Deployment/Release,P2-High,Associate,Customer Support,2026-07-19T19:41:00
TCK-4D1EF2DF,laptop wont boot past Windows 10 logo screen,Incident,Hardware Malfunction,P4-Low,Senior Associate,Legal,2025-04-18T20:19:42
TCK-2BA336FB,please prepare laptop + accounts for new Finance joiner,Admin,New Hardware/Peripheral Request,P3-Medium,Senior Associate,Engineering,2026-03-12T08:29:31
TCK-269DBCAC,"Raising change for schema update on Jira project, tested in staging",Change Request,Database Schema/Deployment Change,P2-High,Senior Associate,Design,2025-05-22T11:55:44
TCK-CDCE9BE2,Need firewall rule opened for port 33 to CRM,Change Request,Firewall/Network Change,P1-Critical,Manager,Finance,2026-01-17T17:29:21
TCK-4A6F6B60,"Our team's IntelliJ IDEA license renewal is due, please process",Service Request,Software License Request,P3-Medium,Associate,HR,2026-05-14T16:11:23
TCK-1CA84725,shared mailbox for QA not accessible since this morning,Incident,Email/Outlook Issue,P2-High,Senior Associate,Sales,2025-11-02T01:47:38
TCK-57F3190C,Need a new distribution list set up for the Engineering project,Service Request,Email/Outlook Issue,P4-Low,Team Lead,Procurement,2025-11-21T18:32:14
TCK-A794875C,Raising change request to roll back Jira deployment,Change Request,Application Deployment/Release,P3-Medium,Senior Associate,Customer Support,2026-03-14T18:08:26
TCK-9FAE44BB,"unable to send emails, getting bounce back error 500",Incident,Email/Outlook Issue,P2-High,Team Lead,DevOps,2025-05-03T22:30:48
TCK-01872B8D,"Employee last working day is for the past 2 days, please disable access",Admin,Employee Offboarding/Asset Return,P2-High,Manager,Legal,2025-09-12T20:05:08
TCK-B1C2B83A,shared mailbox for Engineering not accessible since this morning,Incident,Email/Outlook Issue,P2-High,Associate,Sales,2025-07-25T04:51:47
TCK-5A7AD7D3,"Please install Git client, required for open a file on current project",Service Request,Software Installation Request,P3-Medium,Team Lead,Procurement,2025-08-10T13:38:42
TCK-9A3F801B,Getting 'unable to establish secure connection' on vpn client,Incident,Network/VPN Connectivity Issue,P1-Critical,Senior Associate,Customer Support,2026-07-29T14:12:01
TCK-5B98397C,print jobs stuck in queue for Legal printer,Incident,Printer Not Working,P3-Medium,Associate,Customer Support,2026-06-25T16:31:42
TCK-77E5F992,Need password reset for shared DevOps service account,Service Request,Password Reset,P2-High,Senior Associate,Design,2025-04-07T17:57:51
TCK-C6888E01,"Cant access build pipeline over vpn, connection times out",Incident,Network/VPN Connectivity Issue,P2-High,Senior Associate,Legal,2026-06-11T19:46:01
TCK-D379B249,requesting config rollback on prod database after last night's change,Change Request,Database Schema/Deployment Change,P2-High,Team Lead,Design,2026-07-31T06:57:25
TCK-B8008247,requesting approval to run migration script on client SFTP db,Change Request,Database Schema/Deployment Change,P2-High,Associate,DevOps,2025-06-10T02:43:41
TCK-0C91AC5F,"requesting vpn access renewal, mine expired since last night",Service Request,VPN Access Setup,P1-Critical,Team Lead,Engineering,2025-07-06T02:06:29
TCK-10093BFE,"Employee last working day is yesterday, please disable access",Admin,Employee Offboarding/Asset Return,P2-High,Director,Engineering,2025-04-12T03:42:51
TCK-1E63AAC6,Need RFC approved for db failover test on billing system,Change Request,Database Schema/Deployment Change,P4-Low,Associate,Finance,2026-09-01T13:32:16
TCK-9FE961FC,"Requesting vpn access renewal, mine expired since last night",Service Request,VPN Access Setup,P3-Medium,Associate,HR,2026-05-14T08:58:39
TCK-137290BB,Requesting network change to allow MS Teams traffic through proxy,Change Request,Firewall/Network Change,P1-Critical,Senior Associate,Data Science,2025-10-28T16:05:17
TCK-7397E88C,Requesting vpn profile setup on my new laptop,Service Request,VPN Access Setup,P3-Medium,Team Lead,Design,2026-09-07T02:26:54
TCK-69439F82,"toner/ink warning on 7th floor printer, needs replacement",Incident,Printer Not Working,P4-Low,Manager,QA,2026-04-08T10:04:48
TCK-BE6D401A,"mailbox full error, need cleanup or quota increase asap",Incident,Email/Outlook Issue,P2-High,Team Lead,Design,2025-08-20T12:19:44
TCK-077DA9EE,"mailbox full error, need cleanup or quota increase",Incident,Email/Outlook Issue,P2-High,Team Lead,Finance,2026-01-22T04:25:25
TCK-63CAAC0F,"mailbox full error, need cleanup or quota increase urgently, blocking a client deliverable",Incident,Email/Outlook Issue,P3-Medium,Team Lead,QA,2026-04-24T14:38:12
TCK-AC8B101A,"mfa/authenticator code not accepted, cant get into client SFTP",Incident,Login/Authentication Failure,P1-Critical,Senior Associate,Marketing,2026-01-24T22:05:44
TCK-1BDBD386,"Printer on 3rd floor showing offline, tried restart",Incident,Printer Not Working,P2-High,Team Lead,Finance,2026-06-20T23:07:41
TCK-A8ACD632,requesting admin rights on my machine for push code,Service Request,VPN Access Setup,P4-Low,Senior Associate,Sales,2026-08-19T03:10:44
TCK-B33474BB,Please enable vpn for contractor working with Design team,Service Request,VPN Access Setup,P4-Low,Associate,Legal,2025-06-20T19:10:06
TCK-880ED946,offboarding: revoke staging server access for exiting team member today if possible,Admin,Employee Offboarding/Asset Return,P3-Medium,Senior Associate,Data Science,2025-05-15T16:38:36
TCK-237086DF,Need access removed for a former team member on build pipeline,Service Request,Access/Permission Request,P3-Medium,Senior Associate,Finance,2025-07-23T20:47:06
TCK-123F0F41,requesting additional Adobe Photoshop seat for new Marketing hire,Service Request,Software License Request,P4-Low,Manager,Procurement,2026-02-13T04:43:32
TCK-AD8E33C8,need RFC approved for db failover test on billing system,Change Request,Database Schema/Deployment Change,P2-High,Senior Associate,QA,2026-01-24T15:27:18
TCK-178C01BE,"locked out of my account after 35 failed attempts,",Incident,Login/Authentication Failure,P2-High,Associate,Customer Support,2026-08-04T20:32:49
TCK-BCB7B92C,RFC: update server timezone/locale settings on client SFTP,Change Request,Server Configuration Change,P2-High,Associate,HR,2026-04-07T04:57:08
TCK-C75A8D75,"SAP GUI crashes every time i start my shift, error code 0x8007045",Incident,Application Crash or Error,P2-High,Team Lead,Finance,2025-10-13T18:21:24
TCK-3E30EF70,need asset return + access revoke processed for Finance employee,Admin,Employee Offboarding/Asset Return,P3-Medium,Associate,Engineering,2025-08-22T07:33:16
TCK-F37BD5B4,Need asset return + access revoke processed for Sales employee,Admin,Employee Offboarding/Asset Return,P2-High,Team Lead,DevOps,2026-04-26T17:44:34
TCK-C64F701E,"forgot my password, need a reset",Service Request,Password Reset,P2-High,Associate,Design,2025-11-16T23:41:33
TCK-3CF3AC28,"Mailbox full error, need cleanup or quota increase",Incident,Email/Outlook Issue,P1-Critical,Associate,Engineering,2025-07-05T18:18:55
TCK-CB7F4E21,"RFC to patch OS on staging server, maintenance window needed",Change Request,Server Configuration Change,P2-High,Senior Associate,DevOps,2026-08-04T01:31:58
TCK-926F238D,password reset otp not arriving on registered mobile number,Service Request,Password Reset,P2-High,Manager,Sales,2026-07-05T12:02:16
TCK-70EC21BC,need site-to-site vpn access to GitHub repo for the project,Service Request,VPN Access Setup,P3-Medium,Senior Associate,QA,2025-06-05T10:10:52
TCK-25A57254,"need an external monitor for wfh setup, approved by Martha",Service Request,New Hardware/Peripheral Request,P4-Low,Senior Manager,HR,2026-03-31T06:41:18
TCK-7DCD09D1,Need a new shared mailbox created for Finance team,Service Request,Distribution List / Mailbox Request,P3-Medium,Team Lead,Customer Support,2026-09-02T14:49:29
TCK-9BF4E75C,"Internet/vpn down at 7th floor, whole team affected",Incident,Network/VPN Connectivity Issue,P1-Critical,Senior Associate,HR,2025-03-15T07:58:03
TCK-BC33E4C6,"Printer on 7th floor showing offline, tried restart",Incident,Printer Not Working,P3-Medium,Team Lead,Legal,2025-08-21T23:25:43
TCK-DBC78AC1,Requesting installation of WinSCP - approved by Elizabeth,Service Request,Software Installation Request,P4-Low,Team Lead,Procurement,2026-08-07T04:03:11
TCK-61F673AA,Reset password request for new Legal joiner's account,Service Request,Password Reset,P2-High,Associate,Sales,2025-05-13T06:03:35
TCK-29116758,Need approval to deploy Salesforce config change to prod,Change Request,Application Deployment/Release,P3-Medium,Team Lead,Sales,2026-01-07T23:18:58
TCK-C321A2F5,Laptop overheating and shutting down randomly during run a report,Incident,Hardware Malfunction,P3-Medium,Manager,Marketing,2025-06-30T12:43:21
TCK-A3B6C913,"Figma freezes when i try to run a report, need this fixed at the earliest",Incident,Application Crash or Error,P2-High,Associate,Finance,2025-08-02T14:17:21
TCK-2045302F,please prepare laptop + accounts for new Customer Support joiner,Admin,Employee Onboarding Setup,P1-Critical,Senior Manager,Data Science,2026-07-19T18:35:09
TCK-9BEAA7DB,"locked out after password expired, cant reset it myself",Service Request,Password Reset,P1-Critical,Senior Associate,DevOps,2025-04-30T14:05:44
TCK-162C48D3,Shared mailbox for QA not accessible since this morning,Incident,Email/Outlook Issue,P3-Medium,Team Lead,Procurement,2025-08-09T13:08:14
TCK-7FD33A74,"Zoom crashes every time i submit the deliverable, error code 0x8007045",Incident,Application Crash or Error,P2-High,Senior Manager,HR,2026-05-07T06:46:40
TCK-0DC9C747,"Requesting a new laptop, current one is 42 years old and slow",Service Request,New Hardware/Peripheral Request,P4-Low,Associate,Data Science,2025-08-01T11:37:48
TCK-EE8A0998,need firewall rule opened for port 6 to billing system,Change Request,Firewall/Network Change,P2-High,Manager,Engineering,2026-01-07T03:02:09
TCK-245019FC,"Locked out of my account after 40 failed attempts, at the earliest",Incident,Login/Authentication Failure,P2-High,Manager,DevOps,2025-03-16T08:14:04
TCK-E4A7A1DF,need a new distribution list set up for the Engineering project,Service Request,Distribution List / Mailbox Request,P2-High,Senior Associate,QA,2026-07-07T14:27:01
TCK-7CBC0713,need enterprise license upgrade for SAP GUI for 9 users,Service Request,Software License Request,P4-Low,Team Lead,Procurement,2026-01-03T19:00:10
TCK-A61A1C23,"Not receiving emails since after the last update, checked spam already",Incident,Email/Outlook Issue,P2-High,Team Lead,Engineering,2026-01-24T00:10:31
TCK-40C04E10,need read/write access to prod database for Data Science project,Service Request,Access/Permission Request,P2-High,Team Lead,Finance,2025-05-19T19:58:42
TCK-B7063FAC,"laptop battery draining within 24 mins, needs replacement",Incident,Hardware Malfunction,P2-High,Associate,Finance,2026-07-16T07:04:19
TCK-C64300A7,"RFC to patch OS on internal wiki, maintenance window needed",Change Request,Server Configuration Change,P2-High,Associate,Design,2026-06-25T08:01:55
TCK-DA5D805D,"Tableau crashes every time i join the client call, error code DNS_PROBE_FAILED",Incident,Application Crash or Error,P2-High,Associate,Sales,2025-07-04T01:52:08
TCK-7F9F4743,Tableau is throwing an exception on startup since since last night,Incident,Application Crash or Error,P2-High,Manager,Data Science,2025-05-06T08:01:01
TCK-B2F3246F,Need asset return + access revoke processed for Design employee,Admin,Employee Offboarding/Asset Return,P2-High,Senior Manager,Design,2026-07-08T03:57:50
TCK-B911D39A,new joiner needs Tableau + standard Legal toolset installed,Service Request,Software Installation Request,P4-Low,Senior Associate,QA,2026-02-13T21:32:48
TCK-F66BB4F5,"mailbox full error, need cleanup or quota increase today if possible",Incident,Email/Outlook Issue,P1-Critical,Manager,HR,2026-08-02T05:08:11
TCK-78C4DC08,laptop overheating and shutting down randomly during push code,Incident,Hardware Malfunction,P2-High,Team Lead,Finance,2026-08-27T13:54:49
TCK-29EE2942,need password reset for shared Design service account,Service Request,Password Reset,P2-High,Associate,HR,2026-07-06T16:14:20
TCK-7403FF96,"Locked out of my account after 38 failed attempts,",Incident,Login/Authentication Failure,P1-Critical,Associate,QA,2026-04-18T08:40:43
TCK-FEF1BF52,"Locked out of my account after 25 failed attempts,",Incident,Login/Authentication Failure,P1-Critical,Associate,Engineering,2026-08-02T17:25:19
TCK-B5BE8029,"our team's Git client license renewal is due, please process",Service Request,Software License Request,P2-High,VP,Design,2026-06-27T04:12:23
TCK-D96F3D24,Please prepare laptop + accounts for new DevOps joiner,Admin,Employee Onboarding Setup,P4-Low,Team Lead,Data Science,2025-08-04T03:22:19
TCK-8736C01F,print jobs stuck in queue for Marketing printer,Incident,Printer Not Working,P3-Medium,Associate,Design,2025-05-09T05:41:34
TCK-BB9317EB,"Offboarding: revoke GitHub repo access for exiting team member urgently, blocking a client deliverable",Admin,Employee Offboarding/Asset Return,P2-High,Associate,Engineering,2026-06-24T04:18:45
TCK-D120C820,Keyboard keys not responding on my Windows 10 laptop,Incident,Hardware Malfunction,P3-Medium,Director,QA,2026-06-01T04:17:04
TCK-13A09E6C,"Need a license for IntelliJ IDEA, trial about to expire",Service Request,Software Installation Request,P4-Low,Manager,DevOps,2025-06-24T19:09:51
TCK-56317921,requesting additional PowerBI seat for new HR hire,Service Request,Software License Request,P4-Low,Associate,DevOps,2026-06-27T08:00:11
TCK-F43910D1,RFC to run data backfill script on build pipeline this weekend,Change Request,Database Schema/Deployment Change,P2-High,Associate,Marketing,2025-08-10T21:15:54
TCK-6E6DA1E8,offboarding: revoke Jira project access for exiting team member at the earliest,Admin,Employee Offboarding/Asset Return,P3-Medium,Team Lead,Sales,2025-06-16T19:47:56
TCK-038517B3,"not receiving emails since yesterday, checked spam already",Incident,Email/Outlook Issue,P3-Medium,Associate,Marketing,2025-08-03T09:46:15
TCK-18BD5D24,need a new distribution list set up for the Legal project,Service Request,Distribution List / Mailbox Request,P4-Low,Senior Associate,Marketing,2025-11-03T23:57:15
TCK-7D801EA9,"Vpn client shows error timeout-504 on Linux, blocking access to internal wiki",Incident,Network/VPN Connectivity Issue,P3-Medium,Associate,Data Science,2025-08-29T19:19:56
TCK-E80B4645,Requesting config rollback on shared drive after last night's change,Change Request,Server Configuration Change,P1-Critical,Senior Manager,Design,2025-12-16T01:59:46
TCK-4CEA68B6,Need vpn access configured for new remote hire in DevOps,Service Request,VPN Access Setup,P2-High,Manager,Data Science,2026-04-03T03:37:12
TCK-A1020837,"please grant access to billing system repo, approved by Aaron",Service Request,Access/Permission Request,P3-Medium,Senior Associate,QA,2026-07-30T20:33:04
TCK-949ECEDF,"please grant access to Jira project repo, approved by Amanda",Service Request,Access/Permission Request,P2-High,Team Lead,QA,2026-04-08T23:30:25
TCK-3D2E1EFE,"locked out of my account after 47 failed attempts, asap",Incident,Login/Authentication Failure,P1-Critical,Director,Sales,2026-03-13T06:11:06
TCK-AF08D3E8,Laptop wont boot past Windows 11 logo screen,Incident,Hardware Malfunction,P2-High,Senior Associate,Sales,2025-04-18T08:43:02
TCK-E598BF69,need asset return + access revoke processed for HR employee,Admin,Employee Offboarding/Asset Return,P2-High,VP,Sales,2025-09-07T20:27:53
TCK-A0B3C1E3,need asset return + access revoke processed for Sales employee,Admin,Employee Offboarding/Asset Return,P2-High,Associate,HR,2026-06-18T09:18:09
TCK-693F2007,RFC to rotate credentials/certificates on staging server at the earliest,Change Request,Server Configuration Change,P2-High,Team Lead,Sales,2025-08-22T11:49:40
TCK-135B13E1,"cant print from Anaconda, other apps print fine",Incident,Printer Not Working,P2-High,VP,Procurement,2025-10-20T16:01:54
TCK-3F041815,"please install SAP GUI, required for join the client call on current project",Service Request,Software Installation Request,P4-Low,Team Lead,DevOps,2025-08-19T22:29:45
TCK-1B4DC4B6,"hi, toner/ink warning on 5th floor printer, needs replacement",Incident,Printer Not Working,P3-Medium,Team Lead,QA,2025-10-27T06:25:51
TCK-5DF2A943,"Password reset link expired, still cant log in",Incident,Login/Authentication Failure,P2-High,Team Lead,Data Science,2026-03-16T22:05:38
TCK-4FB23EC9,"raising change for schema update on shared drive, tested in staging",Change Request,Server Configuration Change,P2-High,Director,Marketing,2026-02-11T01:54:47
TCK-911A62B0,scan to email not working from 3rd floor printer,Incident,Printer Not Working,P4-Low,Senior Associate,Procurement,2026-01-05T01:50:41
TCK-FA483605,"requesting a new laptop, current one is 42 years old and slow",Service Request,New Hardware/Peripheral Request,P4-Low,Senior Manager,HR,2025-08-15T03:37:12
TCK-A4DDEA25,Need asset return + access revoke processed for QA employee,Admin,Employee Offboarding/Asset Return,P3-Medium,Team Lead,Finance,2026-01-22T14:59:45
TCK-3B30AF35,requesting deployment window for Docker Desktop hotfix at the earliest,Change Request,Application Deployment/Release,P1-Critical,Senior Associate,Engineering,2025-11-20T15:46:30
TCK-A1982555,"Raising change for schema update on internal wiki, tested in staging",Change Request,Database Schema/Deployment Change,P1-Critical,Senior Associate,QA,2025-07-06T01:30:17
