ticket_id,query_text,request_type,category,priority,requester_role,department,submitted_at
TCK-F70E75CA,"Toner/ink warning on ground floor printer, needs replacement",Incident,Printer Not Working,P1-Critical,Team Lead,Marketing,2026-01-03T03:11:15
TCK-5A12661E,"Unable to open Postman, keeps saying 'application not responding'",Incident,Application Crash or Error,P2-High,Senior Associate,HR,2026-07-24T12:05:08
TCK-333BAD07,"Mailbox full error, need cleanup or quota increase before EOD",Incident,Email/Outlook Issue,P2-High,Senior Associate,DevOps,2025-08-31T23:32:56
TCK-45016F02,scan to email not working from 7th floor printer,Incident,Printer Not Working,P3-Medium,Associate,Design,2025-04-26T20:23:04
TCK-B9B62EFE,Need firewall rule opened for port 5 to build pipeline,Change Request,Firewall/Network Change,P2-High,Team Lead,Marketing,2025-04-08T08:01:02
TCK-A7257B5E,requesting network change to allow SAP GUI traffic through proxy,Change Request,Firewall/Network Change,P2-High,Manager,Marketing,2026-01-19T23:52:45
TCK-00356E69,Please enable vpn for contractor working with Procurement team,Service Request,VPN Access Setup,P3-Medium,Manager,QA,2026-05-28T22:37:40
TCK-B9C2F1D6,Figma is throwing an exception on startup since yesterday,Incident,Application Crash or Error,P2-High,VP,HR,2025-11-13T19:38:47
TCK-4D4F7BF4,Raising change request to resize compute for shared drive before this morning,Change Request,Server Configuration Change,P2-High,Team Lead,DevOps,2026-07-26T17:15:10
TCK-14860C54,raising RFC to increase memory allocation on staging server,Change Request,Server Configuration Change,P1-Critical,Team Lead,Procurement,2025-10-06T03:20:59
TCK-9B4C73C9,"password reset link expired, still cant log in",Incident,Login/Authentication Failure,P1-Critical,Senior Associate,Customer Support,2026-05-24T10:17:09
TCK-24338C4A,Outlook keeps freezing / not syncing on Linux,Incident,Email/Outlook Issue,P2-High,Associate,Customer Support,2026-06-11T11:05:53
TCK-EC9418DE,laptop screen flickering / has dead pixels since after the last update,Incident,Hardware Malfunction,P3-Medium,Senior Associate,Marketing,2026-06-10T15:28:03
TCK-156757A9,"laptop battery draining within 31 mins, needs replacement",Incident,Hardware Malfunction,P1-Critical,VP,Marketing,2025-08-31T18:03:38
TCK-533F3606,need site-to-site vpn access to build pipeline for the project,Service Request,VPN Access Setup,P3-Medium,Team Lead,Engineering,2025-06-29T20:18:58
TCK-FA6EA072,"getting a white screen / blank page in PowerBI, cleared cache already",Incident,Application Crash or Error,P3-Medium,Senior Associate,Marketing,2025-05-24T00:17:59
TCK-37D6FEFD,Need a docking station for the Design team's new hires,Service Request,New Hardware/Peripheral Request,P4-Low,Senior Associate,QA,2025-06-07T13:38:00
TCK-BE1CA2EC,"getting a white screen / blank page in Git client, cleared cache already",Incident,Hardware Malfunction,P1-Critical,Team Lead,Marketing,2026-02-05T07:15:27
TCK-29EAF0B0,Need a new shared mailbox created for Procurement team,Service Request,Distribution List / Mailbox Request,P3-Medium,Senior Associate,QA,2026-01-07T06:12:29
TCK-FD1FE5E5,"hello, my VPN keeps disconnecting every 10 mins, can't submit the deliverable",Incident,Network/VPN Connectivity Issue,P1-Critical,Team Lead,Engineering,2026-03-12T22:42:28
TCK-B9CBEEC6,"unable to connect to office VPN since yesterday, team is idle",Incident,VPN Access Setup,P1-Critical,Associate,Customer Support,2026-05-18T02:30:13
TCK-14DCE916,"Anaconda lost all my unsaved work after crashing, please help",Incident,Hardware Malfunction,P2-High,Associate,DevOps,2025-03-23T07:38:50
TCK-352E66A4,onboarding checklist pending for new associate in Legal,Admin,Employee Onboarding Setup,P3-Medium,Manager,Legal,2025-06-11T09:01:29
TCK-4B0A0133,Printer paper jam error even after clearing tray,Incident,Printer Not Working,P3-Medium,Associate,Customer Support,2026-05-05T11:28:40
TCK-DF0F021F,"Cant print from IntelliJ IDEA, other apps print fine",Incident,Printer Not Working,P3-Medium,Senior Associate,Marketing,2026-07-25T06:01:10
TCK-8E5A7A2C,Raising RFC to increase memory allocation on internal wiki,Change Request,Server Configuration Change,P2-High,Senior Associate,Procurement,2025-10-28T08:51:52
TCK-92EE8961,Requesting removal of old members from DevOps DL,Service Request,Distribution List / Mailbox Request,P3-Medium,Manager,HR,2026-03-01T19:38:54
TCK-E8B84DAB,printer paper jam error even after clearing tray,Incident,Printer Not Working,P4-Low,Associate,Procurement,2025-10-04T23:33:11
TCK-B6FEBB5F,docking station not detecting external monitor,Incident,Hardware Malfunction,P2-High,Manager,HR,2025-06-05T01:16:01
TCK-2B230C5A,network printer not detected on macOS,Incident,Printer Not Working,P3-Medium,Associate,QA,2025-11-01T05:02:22
TCK-B38264EB,offboarding: revoke analytics dashboard access for exiting team member,Admin,Employee Offboarding/Asset Return,P3-Medium,Associate,Procurement,2026-04-12T17:08:51
TCK-BAF86304,"Getting a white screen / blank page in Postman, cleared cache already",Incident,Application Crash or Error,P3-Medium,Associate,HR,2025-07-11T02:45:21
TCK-C557F7E3,"self-service password reset isnt working, need manual reset",Service Request,Password Reset,P2-High,Associate,QA,2025-07-17T21:07:04
TCK-DEF375EE,"Unable to send emails, getting bounce back error 403",Incident,Email/Outlook Issue,P2-High,Manager,Engineering,2026-04-30T08:08:04
TCK-B186C9C4,RFC for production release of Salesforce v15.0 this sprint,Change Request,Application Deployment/Release,P3-Medium,Senior Associate,Customer Support,2026-06-22T14:45:42
TCK-3EC70979,RFC for production release of Docker Desktop v29.0 this sprint,Change Request,Application Deployment/Release,P2-High,Senior Associate,Marketing,2025-03-29T12:41:54
TCK-208E79C8,RFC to whitelist new vendor IP for internal wiki integration,Change Request,Firewall/Network Change,P2-High,Associate,DevOps,2025-12-21T08:04:38
TCK-92912373,"Requesting a new laptop, current one is 29 years old and slow",Service Request,New Hardware/Peripheral Request,P4-Low,Manager,Sales,2025-11-08T06:06:15
TCK-7870D01D,Raising RFC to increase memory allocation on billing system,Change Request,Server Configuration Change,P2-High,Manager,Design,2025-09-17T11:47:50
TCK-65AE2FF6,Need RFC approved for db failover test on Jira project,Change Request,Database Schema/Deployment Change,P1-Critical,Manager,Procurement,2025-05-14T13:45:48
TCK-769F1211,requesting approval to add new column to build pipeline schema today if possible,Change Request,Database Schema/Deployment Change,P2-High,Senior Associate,Customer Support,2026-03-26T21:08:39
TCK-B536537B,RFC for production release of SAP GUI v47.0 this sprint,Change Request,Application Deployment/Release,P2-High,Associate,Customer Support,2026-05-02T03:59:17
TCK-97CD9F9D,laptop wont boot past Windows 10 logo screen,Incident,Hardware Malfunction,P4-Low,Senior Associate,Legal,2025-06-22T03:00:57
TCK-C0D5E82B,please prepare laptop + accounts for new Finance joiner,Admin,New Hardware/Peripheral Request,P3-Medium,Senior Associate,Engineering,2026-05-15T10:42:26
TCK-52D1A128,"Raising change for schema update on Jira project, tested in staging",Change Request,Database Schema/Deployment Change,P2-High,Senior Associate,Design,2026-04-28T06:10:40
TCK-265DD1FE,Need firewall rule opened for port 33 to CRM,Change Request,Firewall/Network Change,P1-Critical,Manager,Finance,2026-02-06T01:29:18
TCK-3EDF7A7C,"Our team's IntelliJ IDEA license renewal is due, please process",Service Request,Software License Request,P3-Medium,Associate,HR,2026-05-07T06:49:59
TCK-D40DBA8F,shared mailbox for QA not accessible since this morning,Incident,Email/Outlook Issue,P2-High,Senior Associate,Sales,2025-11-11T12:26:18
TCK-D14A2849,Need a new distribution list set up for the Engineering project,Service Request,Email/Outlook Issue,P4-Low,Team Lead,Procurement,2026-08-18T02:46:40
TCK-075358B4,Raising change request to roll back Jira deployment,Change Request,Application Deployment/Release,P3-Medium,Senior Associate,Customer Support,2026-02-17T16:24:10
TCK-249912C9,"unable to send emails, getting bounce back error 500",Incident,Email/Outlook Issue,P2-High,Team Lead,DevOps,2026-02-28T01:56:14
TCK-8F57BE8B,"Employee last working day is for the past 2 days, please disable access",Admin,Employee Offboarding/Asset Return,P2-High,Manager,Legal,2025-09-04T22:17:15
TCK-F50615DB,shared mailbox for Engineering not accessible since this morning,Incident,Email/Outlook Issue,P2-High,Associate,Sales,2025-03-30T17:43:57
TCK-E2AAB889,"Please install Git client, required for open a file on current project",Service Request,Software Installation Request,P3-Medium,Team Lead,Procurement,2025-03-19T23:40:21
TCK-0351206A,Getting 'unable to establish secure connection' on vpn client,Incident,Network/VPN Connectivity Issue,P1-Critical,Senior Associate,Customer Support,2026-07-17T14:14:14
TCK-0A341D69,print jobs stuck in queue for Legal printer,Incident,Printer Not Working,P3-Medium,Associate,Customer Support,2025-05-05T18:03:31
TCK-F6A6D9A7,Need password reset for shared DevOps service account,Service Request,Password Reset,P2-High,Senior Associate,Design,2025-11-26T01:15:32
TCK-C1A1C1F1,"Cant access build pipeline over vpn, connection times out",Incident,Network/VPN Connectivity Issue,P2-High,Senior Associate,Legal,2025-09-15T06:21:12
TCK-F890CB4E,requesting config rollback on prod database after last night's change,Change Request,Database Schema/Deployment Change,P2-High,Team Lead,Design,2026-03-26T10:24:27
TCK-0FF92615,requesting approval to run migration script on client SFTP db,Change Request,Database Schema/Deployment Change,P2-High,Associate,DevOps,2025-06-25T04:05:49
TCK-ECAACC69,"requesting vpn access renewal, mine expired since last night",Service Request,VPN Access Setup,P1-Critical,Team Lead,Engineering,2026-05-31T22:38:25
TCK-4EF76029,"Employee last working day is yesterday, please disable access",Admin,Employee Offboarding/Asset Return,P2-High,Director,Engineering,2025-09-19T03:25:20
TCK-DBD53F8B,Need RFC approved for db failover test on billing system,Change Request,Database Schema/Deployment Change,P4-Low,Associate,Finance,2026-01-24T13:46:23
TCK-0BE9FCC0,"Requesting vpn access renewal, mine expired since last night",Service Request,VPN Access Setup,P3-Medium,Associate,HR,2025-05-28T16:32:48
TCK-3673888F,Requesting network change to allow MS Teams traffic through proxy,Change Request,Firewall/Network Change,P1-Critical,Senior Associate,Data Science,2025-12-14T14:12:39
TCK-BAC11531,Requesting vpn profile setup on my new laptop,Service Request,VPN Access Setup,P3-Medium,Team Lead,Design,2026-03-12T03:35:46
TCK-3FEA34B1,"toner/ink warning on 7th floor printer, needs replacement",Incident,Printer Not Working,P4-Low,Manager,QA,2025-04-25T11:26:58
TCK-ECF937A5,"mailbox full error, need cleanup or quota increase asap",Incident,Email/Outlook Issue,P2-High,Team Lead,Design,2026-07-29T07:17:21
TCK-F70916E6,"mailbox full error, need cleanup or quota increase",Incident,Email/Outlook Issue,P2-High,Team Lead,Finance,2026-01-21T03:01:48
TCK-6C659E40,"mailbox full error, need cleanup or quota increase urgently, blocking a client deliverable",Incident,Email/Outlook Issue,P3-Medium,Team Lead,QA,2025-06-07T06:32:52
TCK-A425D9FF,"mfa/authenticator code not accepted, cant get into client SFTP",Incident,Login/Authentication Failure,P1-Critical,Senior Associate,Marketing,2025-08-09T03:22:35
TCK-42977221,"Printer on 3rd floor showing offline, tried restart",Incident,Printer Not Working,P2-High,Team Lead,Finance,2025-07-01T06:48:46
TCK-6EB3F0F1,requesting admin rights on my machine for push code,Service Request,VPN Access Setup,P4-Low,Senior Associate,Sales,2025-10-16T18:05:00
TCK-2057BF7B,Please enable vpn for contractor working with Design team,Service Request,VPN Access Setup,P4-Low,Associate,Legal,2025-05-11T22:54:06
TCK-61152461,offboarding: revoke staging server access for exiting team member today if possible,Admin,Employee Offboarding/Asset Return,P3-Medium,Senior Associate,Data Science,2026-08-02T22:29:14
TCK-2B0444C8,Need access removed for a former team member on build pipeline,Service Request,Access/Permission Request,P3-Medium,Senior Associate,Finance,2025-03-25T20:43:54
TCK-E618E55A,requesting additional Adobe Photoshop seat for new Marketing hire,Service Request,Software License Request,P4-Low,Manager,Procurement,2025-09-14T00:03:31
TCK-B3A6D354,need RFC approved for db failover test on billing system,Change Request,Database Schema/Deployment Change,P2-High,Senior Associate,QA,2026-03-26T14:37:56
TCK-1D95F1F0,"locked out of my account after 35 failed attempts,",Incident,Login/Authentication Failure,P2-High,Associate,Customer Support,2026-01-19T21:33:30
TCK-3B2D0889,RFC: update server timezone/locale settings on client SFTP,Change Request,Server Configuration Change,P2-High,Associate,HR,2025-07-20T06:41:02
TCK-44166F46,"SAP GUI crashes every time i start my shift, error code 0x8007045",Incident,Application Crash or Error,P2-High,Team Lead,Finance,2026-01-11T15:36:52
TCK-12F7C0D5,need asset return + access revoke processed for Finance employee,Admin,Employee Offboarding/Asset Return,P3-Medium,Associate,Engineering,2026-03-02T19:35:46
TCK-1C6512D2,Need asset return + access revoke processed for Sales employee,Admin,Employee Offboarding/Asset Return,P2-High,Team Lead,DevOps,2026-09-06T11:01:56
TCK-6530D959,"forgot my password, need a reset",Service Request,Password Reset,P2-High,Associate,Design,2026-05-20T01:53:52
TCK-230A5F76,"Mailbox full error, need cleanup or quota increase",Incident,Email/Outlook Issue,P1-Critical,Associate,Engineering,2025-10-30T20:39:37
TCK-944B4DBE,"RFC to patch OS on staging server, maintenance window needed",Change Request,Server Configuration Change,P2-High,Senior Associate,DevOps,2025-04-28T19:49:59
TCK-47AC15B5,password reset otp not arriving on registered mobile number,Service Request,Password Reset,P2-High,Manager,Sales,2026-05-09T12:52:36
TCK-C7633F39,need site-to-site vpn access to GitHub repo for the project,Service Request,VPN Access Setup,P3-Medium,Senior Associate,QA,2025-11-12T23:38:34
TCK-65D5B39F,"need an external monitor for wfh setup, approved by Brian",Service Request,New Hardware/Peripheral Request,P4-Low,Senior Manager,HR,2026-06-11T03:29:06
TCK-DE65BA5A,Need a new shared mailbox created for Finance team,Service Request,Distribution List / Mailbox Request,P3-Medium,Team Lead,Customer Support,2026-04-30T22:32:03
TCK-534A7690,"Internet/vpn down at 7th floor, whole team affected",Incident,Network/VPN Connectivity Issue,P1-Critical,Senior Associate,HR,2026-04-12T20:14:05
TCK-21B467E8,"Printer on 7th floor showing offline, tried restart",Incident,Printer Not Working,P3-Medium,Team Lead,Legal,2025-08-05T17:39:14
TCK-CAF73CA4,Requesting installation of WinSCP - approved by Casey,Service Request,Software Installation Request,P4-Low,Team Lead,Procurement,2025-05-06T04:30:28
TCK-2695BCBA,Reset password request for new Legal joiner's account,Service Request,Password Reset,P2-High,Associate,Sales,2025-09-13T02:08:38
TCK-08F6B4B7,Need approval to deploy Salesforce config change to prod,Change Request,Application Deployment/Release,P3-Medium,Team Lead,Sales,2026-05-30T21:08:41
TCK-AA76743F,Laptop overheating and shutting down randomly during run a report,Incident,Hardware Malfunction,P3-Medium,Manager,Marketing,2025-05-17T01:54:25
TCK-C9D48ADA,"Figma freezes when i try to run a report, need this fixed at the earliest",Incident,Application Crash or Error,P2-High,Associate,Finance,2026-06-10T18:03:56
TCK-052A5A88,please prepare laptop + accounts for new Customer Support joiner,Admin,Employee Onboarding Setup,P1-Critical,Senior Manager,Data Science,2025-11-15T03:11:12
TCK-006FA170,"locked out after password expired, cant reset it myself",Service Request,Password Reset,P1-Critical,Senior Associate,DevOps,2025-08-20T01:17:34
TCK-F18802C8,Shared mailbox for QA not accessible since this morning,Incident,Email/Outlook Issue,P3-Medium,Team Lead,Procurement,2025-11-13T10:26:14
TCK-2C219A09,"Zoom crashes every time i submit the deliverable, error code 0x8007045",Incident,Application Crash or Error,P2-High,Senior Manager,HR,2026-01-15T19:36:30
TCK-12717081,"Requesting a new laptop, current one is 42 years old and slow",Service Request,New Hardware/Peripheral Request,P4-Low,Associate,Data Science,2026-07-28T18:37:56
TCK-EDE3991F,need firewall rule opened for port 6 to billing system,Change Request,Firewall/Network Change,P2-High,Manager,Engineering,2025-11-14T23:35:44
TCK-6FDD0F23,"Locked out of my account after 40 failed attempts, at the earliest",Incident,Login/Authentication Failure,P2-High,Manager,DevOps,2025-05-09T17:55:38
TCK-405EE9B5,need a new distribution list set up for the Engineering project,Service Request,Distribution List / Mailbox Request,P2-High,Senior Associate,QA,2026-07-09T20:52:23
TCK-8B5EF5C3,need enterprise license upgrade for SAP GUI for 9 users,Service Request,Software License Request,P4-Low,Team Lead,Procurement,2025-05-31T01:24:40
TCK-163B2B55,"Not receiving emails since after the last update, checked spam already",Incident,Email/Outlook Issue,P2-High,Team Lead,Engineering,2025-08-26T23:06:35
TCK-8404BC67,need read/write access to prod database for Data Science project,Service Request,Access/Permission Request,P2-High,Team Lead,Finance,2025-06-25T06:47:41
TCK-09DEEE3E,"laptop battery draining within 24 mins, needs replacement",Incident,Hardware Malfunction,P2-High,Associate,Finance,2025-05-06T19:59:18
TCK-68F069C0,"RFC to patch OS on internal wiki, maintenance window needed",Change Request,Server Configuration Change,P2-High,Associate,Design,2025-12-26T10:06:35
TCK-8CAA40EF,"Tableau crashes every time i join the client call, error code DNS_PROBE_FAILED",Incident,Application Crash or Error,P2-High,Associate,Sales,2026-02-17T17:58:40
TCK-860B6D43,Tableau is throwing an exception on startup since since last night,Incident,Application Crash or Error,P2-High,Manager,Data Science,2026-09-11T20:33:37
TCK-4C8C7297,Need asset return + access revoke processed for Design employee,Admin,Employee Offboarding/Asset Return,P2-High,Senior Manager,Design,2026-08-04T08:37:39
TCK-D81F2D49,new joiner needs Tableau + standard Legal toolset installed,Service Request,Software Installation Request,P4-Low,Senior Associate,QA,2026-08-15T03:29:52
TCK-23CC94C1,"mailbox full error, need cleanup or quota increase today if possible",Incident,Email/Outlook Issue,P1-Critical,Manager,HR,2025-11-01T22:26:59
TCK-1DE87A8D,laptop overheating and shutting down randomly during push code,Incident,Hardware Malfunction,P2-High,Team Lead,Finance,2025-06-02T20:37:04
TCK-0DAE9CDE,need password reset for shared Design service account,Service Request,Password Reset,P2-High,Associate,HR,2025-06-26T16:59:36
TCK-CF177825,"Locked out of my account after 38 failed attempts,",Incident,Login/Authentication Failure,P1-Critical,Associate,QA,2025-06-05T12:55:14
TCK-A7ABE78A,"Locked out of my account after 25 failed attempts,",Incident,Login/Authentication Failure,P1-Critical,Associate,Engineering,2025-07-13T03:23:04
TCK-FF614E71,"our team's Git client license renewal is due, please process",Service Request,Software License Request,P2-High,VP,Design,2026-06-27T04:28:14
TCK-AA7B4052,Please prepare laptop + accounts for new DevOps joiner,Admin,Employee Onboarding Setup,P4-Low,Team Lead,Data Science,2025-12-05T17:22:38
TCK-06C15667,print jobs stuck in queue for Marketing printer,Incident,Printer Not Working,P3-Medium,Associate,Design,2026-07-20T00:40:40
TCK-7C4083CA,"Offboarding: revoke GitHub repo access for exiting team member urgently, blocking a client deliverable",Admin,Employee Offboarding/Asset Return,P2-High,Associate,Engineering,2026-04-10T23:07:59
TCK-7B6DB903,Keyboard keys not responding on my Windows 10 laptop,Incident,Hardware Malfunction,P3-Medium,Director,QA,2025-04-22T20:35:08
TCK-B62E6D72,"Need a license for IntelliJ IDEA, trial about to expire",Service Request,Software Installation Request,P4-Low,Manager,DevOps,2025-06-24T00:16:50
TCK-4C43C2C6,requesting additional PowerBI seat for new HR hire,Service Request,Software License Request,P4-Low,Associate,DevOps,2025-10-03T20:49:32
TCK-766AC5EE,RFC to run data backfill script on build pipeline this weekend,Change Request,Database Schema/Deployment Change,P2-High,Associate,Marketing,2026-02-20T14:02:11
TCK-8F707F75,offboarding: revoke Jira project access for exiting team member at the earliest,Admin,Employee Offboarding/Asset Return,P3-Medium,Team Lead,Sales,2026-05-12T04:09:56
TCK-99D64282,"not receiving emails since yesterday, checked spam already",Incident,Email/Outlook Issue,P3-Medium,Associate,Marketing,2025-12-26T04:18:37
TCK-DB89FA70,need a new distribution list set up for the Legal project,Service Request,Distribution List / Mailbox Request,P4-Low,Senior Associate,Marketing,2025-07-07T10:17:37
TCK-C2090203,"Vpn client shows error timeout-504 on Linux, blocking access to internal wiki",Incident,Network/VPN Connectivity Issue,P3-Medium,Associate,Data Science,2025-04-15T21:22:19
TCK-36976105,Requesting config rollback on shared drive after last night's change,Change Request,Server Configuration Change,P1-Critical,Senior Manager,Design,2025-04-14T09:19:11
TCK-B53E9F2B,Need vpn access configured for new remote hire in DevOps,Service Request,VPN Access Setup,P2-High,Manager,Data Science,2026-08-14T10:09:55
TCK-5211DBD1,"please grant access to billing system repo, approved by Curtis",Service Request,Access/Permission Request,P3-Medium,Senior Associate,QA,2026-05-23T06:36:38
TCK-59EE23DB,"please grant access to Jira project repo, approved by Nicole",Service Request,Access/Permission Request,P2-High,Team Lead,QA,2026-01-24T01:02:56
TCK-1A7D1E66,"locked out of my account after 47 failed attempts, asap",Incident,Login/Authentication Failure,P1-Critical,Director,Sales,2025-07-12T10:42:30
TCK-5DBF2772,Laptop wont boot past Windows 11 logo screen,Incident,Hardware Malfunction,P2-High,Senior Associate,Sales,2025-09-14T06:43:45
TCK-F3015BB8,need asset return + access revoke processed for HR employee,Admin,Employee Offboarding/Asset Return,P2-High,VP,Sales,2025-07-29T22:07:15
TCK-B957F479,need asset return + access revoke processed for Sales employee,Admin,Employee Offboarding/Asset Return,P2-High,Associate,HR,2025-04-02T15:40:36
TCK-34532903,RFC to rotate credentials/certificates on staging server at the earliest,Change Request,Server Configuration Change,P2-High,Team Lead,Sales,2025-11-27T10:00:41
TCK-5134403C,"cant print from Anaconda, other apps print fine",Incident,Printer Not Working,P2-High,VP,Procurement,2026-01-28T04:30:54
TCK-256640AD,"please install SAP GUI, required for join the client call on current project",Service Request,Software Installation Request,P4-Low,Team Lead,DevOps,2025-09-23T03:47:53
TCK-0DBCF2ED,"hi, toner/ink warning on 5th floor printer, needs replacement",Incident,Printer Not Working,P3-Medium,Team Lead,QA,2026-09-10T02:23:54
TCK-0D5CB564,"Password reset link expired, still cant log in",Incident,Login/Authentication Failure,P2-High,Team Lead,Data Science,2025-04-13T11:30:16
TCK-21196BD7,"raising change for schema update on shared drive, tested in staging",Change Request,Server Configuration Change,P2-High,Director,Marketing,2025-09-03T04:05:26
TCK-D3B81C69,scan to email not working from 3rd floor printer,Incident,Printer Not Working,P4-Low,Senior Associate,Procurement,2026-03-06T22:17:59
TCK-48533054,"requesting a new laptop, current one is 42 years old and slow",Service Request,New Hardware/Peripheral Request,P4-Low,Senior Manager,HR,2025-09-07T04:18:46
TCK-FB7AC091,Need asset return + access revoke processed for QA employee,Admin,Employee Offboarding/Asset Return,P3-Medium,Team Lead,Finance,2026-08-09T01:32:09
TCK-E8FD6AA1,requesting deployment window for Docker Desktop hotfix at the earliest,Change Request,Application Deployment/Release,P1-Critical,Senior Associate,Engineering,2025-11-24T08:52:18
TCK-6DA19FA4,"Raising change for schema update on internal wiki, tested in staging",Change Request,Database Schema/Deployment Change,P1-Critical,Senior Associate,QA,2025-05-07T07:43:19
